127.0.0.1 - - [09/Mar/2025:20:01:41 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:01:44 +0300] "GET /AcademicTripSystem/ HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:01:46 +0300] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:06 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:06 +0300] "GET /AcademicTripSystem/loginError.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:07 +0300] "GET /AcademicTripSystem/login.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:15 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:15 +0300] "GET /AcademicTripSystem/loginError.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:17 +0300] "GET /AcademicTripSystem/login.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:28 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:28 +0300] "GET /AcademicTripSystem/loginError.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:32 +0300] "GET /AcademicTripSystem/login.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:43 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:02:43 +0300] "GET /AcademicTripSystem/loginError.jsp HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:28 +0300] "GET /AcademicTripSystem/login.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:37 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:37 +0300] "GET /AcademicTripSystem/lecturer/addTrip.jsp HTTP/1.1" 200 4550
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:37 +0300] "GET /AcademicTripSystem/css/styles.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:52 +0300] "POST /AcademicTripSystem/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:52 +0300] "GET /AcademicTripSystem/transport/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:54 +0300] "GET /AcademicTripSystem/transport/manageDrivers.jsp HTTP/1.1" 200 2006
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:04:59 +0300] "GET /AcademicTripSystem/transport/manageVehicles.jsp HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:05:12 +0300] "GET /AcademicTripSystem/transport/assignDriverVehicle.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:06:11 +0300] "GET /AcademicTripSystem/transport/viewAssignments.jsp HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:06:12 +0300] "GET /AcademicTripSystem/css/styles.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:06:15 +0300] "GET /AcademicTripSystem/transport/assignResources.jsp HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:06:47 +0300] "GET /AcademicTripSystem/transport/viewAssignments.jsp HTTP/1.1" 200 2225
0:0:0:0:0:0:0:1 - - [09/Mar/2025:20:06:47 +0300] "GET /AcademicTripSystem/css/styles.css HTTP/1.1" 404 792
